"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 01- 25","23.896","24.045","24.045","23.635","53.18K","0.40%"
"2022- 01- 24","23.800","24.305","24.360","23.595","72.35K","-2.14%"
"2022- 01- 21","24.320","24.525","24.640","24.205","62.05K","-1.60%"
"2022- 01- 20","24.716","24.185","24.755","24.125","75.61K","2.00%"
"2022- 01- 19","24.231","23.505","24.265","23.430","73.90K","3.15%"
"2022- 01- 17","23.492","22.995","23.680","22.820","105.83K","2.50%"
"2022- 01- 14","22.918","23.115","23.345","22.845","50.67K","-1.05%"
"2022- 01- 13","23.162","23.190","23.315","23.025","53.38K","-0.19%"
"2022- 01- 12","23.207","22.820","23.260","22.680","55.76K","1.73%"
"2022- 01- 11","22.812","22.500","22.860","22.480","48.87K","1.56%"
"2022- 01- 10","22.462","22.385","22.540","22.205","44.53K","0.24%"
"2022- 01- 07","22.409","22.195","22.460","21.945","57.76K","0.99%"
"2022- 01- 06","22.190","22.810","22.850","22.000","73.89K","-4.23%"
"2022- 01- 05","23.170","23.095","23.300","22.750","41.19K","0.49%"
"2022- 01- 04","23.056","22.920","23.140","22.655","44.91K","1.08%"
"2022- 01- 03","22.810","23.385","23.440","22.690","46.32K","-2.32%"
"2021- 12- 31","23.352","23.095","23.390","23.070","30.39K","1.27%"
"2021- 12- 30","23.060","22.870","23.155","22.630","30.54K","0.88%"
"2021- 12- 29","22.858","23.050","23.185","22.600","40.03K","-1.14%"
"2021- 12- 28","23.121","23.105","23.480","23.005","42.75K","0.57%"
"2021- 12- 27","22.989","22.900","23.150","22.655","39.29K","0.21%"
"2021- 12- 23","22.940","22.815","22.965","22.680","33.91K","0.53%"
"2021- 12- 22","22.819","22.525","22.860","22.440","35.70K","1.29%"
"2021- 12- 21","22.529","22.290","22.805","22.185","45.67K","1.07%"
"2021- 12- 20","22.291","22.390","22.435","22.190","35.06K","-1.07%"
"2021- 12- 17","22.533","22.530","22.690","22.355","39.31K","0.21%"
"2021- 12- 16","22.485","22.070","22.560","21.930","56.37K","4.36%"
"2021- 12- 15","21.545","21.945","22.130","21.410","65.04K","-1.73%"
"2021- 12- 14","21.924","22.350","22.355","21.670","52.45K","-1.81%"
"2021- 12- 13","22.328","22.195","22.430","22.160","31.88K","0.60%"
"2021- 12- 10","22.195","21.975","22.240","21.815","43.90K","0.83%"
"2021- 12- 09","22.013","22.435","22.475","21.840","58.89K","-1.87%"
"2021- 12- 08","22.432","22.525","22.580","22.305","28.91K","-0.40%"
"2021- 12- 07","22.523","22.395","22.625","22.230","38.83K","1.17%"
"2021- 12- 06","22.263","22.610","22.635","22.125","41.15K","-0.97%"
"2021- 12- 03","22.481","22.410","22.590","22.035","54.13K","0.74%"
"2021- 12- 02","22.316","22.335","22.505","22.215","45.19K","-0.10%"
"2021- 12- 01","22.339","22.875","23.060","22.185","65.42K","-2.09%"
"2021- 11- 30","22.815","22.930","23.355","22.705","68.03K","-0.16%"
"2021- 11- 29","22.852","23.160","23.460","22.775","66.86K","-1.22%"
"2021- 11- 25","23.135","23.610","23.770","22.935","55.88K","-1.54%"
"2021- 11- 24","23.496","23.640","23.695","23.400","54.62K","0.26%"
"2021- 11- 23","23.435","24.210","24.340","23.280","93.87K","-3.55%"
"2021- 11- 22","24.297","24.670","24.955","24.140","78.54K","-1.95%"
"2021- 11- 19","24.781","24.850","25.040","24.610","67.98K","-0.48%"
"2021- 11- 18","24.900","25.150","25.230","24.730","63.62K","-1.06%"
"2021- 11- 17","25.167","24.860","25.285","24.850","54.35K","0.89%"
"2021- 11- 16","24.944","25.135","25.490","24.825","77.00K","-0.64%"
"2021- 11- 15","25.105","25.425","25.465","24.970","68.48K","-0.95%"
"2021- 11- 12","25.346","25.350","25.470","24.925","66.39K","0.18%"
"2021- 11- 11","25.301","24.710","25.365","24.645","82.02K","2.14%"
"2021- 11- 10","24.772","24.375","25.220","24.040","131.56K","1.87%"
"2021- 11- 09","24.318","24.550","24.565","24.090","65.11K","-0.91%"
"2021- 11- 08","24.542","24.285","24.590","24.130","67.62K","1.59%"
"2021- 11- 05","24.157","23.870","24.255","23.665","73.24K","1.03%"
"2021- 11- 04","23.911","23.530","24.115","23.485","68.46K","2.93%"
"2021- 11- 03","23.231","23.570","23.665","23.045","67.16K","-1.17%"
"2021- 11- 02","23.507","24.130","24.140","23.430","63.00K","-2.35%"
"2021- 11- 01","24.073","23.985","24.175","23.810","37.06K","0.52%"
"2021- 10- 29","23.949","24.135","24.140","23.705","57.80K","-0.71%"
"2021- 10- 28","24.120","24.130","24.310","24.020","45.96K","-0.29%"
"2021- 10- 27","24.191","24.220","24.330","23.905","48.09K","0.43%"
"2021- 10- 26","24.088","24.650","24.655","23.925","61.76K","-2.05%"
"2021- 10- 25","24.592","24.395","24.695","24.365","44.83K","0.58%"
"2021- 10- 22","24.449","24.220","24.920","24.185","83.28K","1.15%"
"2021- 10- 21","24.170","24.370","24.550","24.070","58.68K","-1.12%"
"2021- 10- 20","24.445","23.710","24.495","23.615","73.13K","2.35%"
"2021- 10- 19","23.883","23.250","24.180","23.220","79.07K","2.66%"
"2021- 10- 18","23.264","23.380","23.495","23.035","47.03K","-0.36%"
"2021- 10- 15","23.349","23.565","23.645","23.100","52.25K","-0.55%"
"2021- 10- 14","23.477","23.100","23.625","22.925","54.28K","1.32%"
"2021- 10- 13","23.170","22.570","23.285","22.480","71.90K","2.91%"
"2021- 10- 12","22.514","22.610","22.790","22.325","42.93K","-0.67%"
"2021- 10- 11","22.665","22.685","22.830","22.495","29.93K","-0.18%"
"2021- 10- 08","22.705","22.610","23.220","22.435","69.58K","0.21%"
"2021- 10- 07","22.658","22.640","22.840","22.385","41.56K","0.56%"
"2021- 10- 06","22.532","22.635","22.700","22.185","38.89K","-0.34%"
"2021- 10- 05","22.608","22.725","22.730","22.380","27.04K","-0.16%"
"2021- 10- 04","22.644","22.600","22.805","22.290","35.18K","0.48%"
