"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 10- 07","1,367.00","1,358.00","1,373.50","1,350.75","","0.66%"
"2022- 10- 06","1,358.00","1,369.50","1,376.75","1,350.00","","-0.86%"
"2022- 10- 05","1,369.75","1,382.75","1,385.25","1,362.50","","-0.99%"
"2022- 10- 04","1,383.50","1,373.75","1,395.00","1,371.75","","0.76%"
"2022- 10- 03","1,373.12","1,362.38","1,376.38","1,361.25","","0.61%"
"2022- 09- 30","1,364.75","1,410.50","1,425.75","1,363.25","","-3.26%"
"2022- 09- 29","1,410.75","1,408.75","1,423.75","1,403.25","157.47K","0.14%"
"2022- 09- 28","1,408.75","1,409.00","1,412.50","1,390.75","","0.05%"
"2022- 09- 27","1,408.00","1,411.25","1,437.25","1,407.00","","-0.19%"
"2022- 09- 26","1,410.75","1,423.88","1,433.62","1,408.25","","-1.00%"
"2022- 09- 25","1,425.00","1,425.00","1,425.00","1,425.00","","-0.05%"
"2022- 09- 23","1,425.75","1,452.75","1,455.88","1,420.50","","-1.88%"
"2022- 09- 22","1,453.00","1,456.00","1,475.88","1,449.00","","-0.56%"
"2022- 09- 21","1,461.25","1,476.50","1,488.75","1,459.50","","-1.18%"
"2022- 09- 20","1,478.75","1,461.75","1,485.50","1,450.75","","1.20%"
"2022- 09- 19","1,461.25","1,446.00","1,465.75","1,438.25","","0.88%"
"2022- 09- 16","1,448.50","1,449.00","1,455.00","1,433.75","","-0.21%"
"2022- 09- 15","1,451.50","1,456.00","1,468.50","1,444.00","","-0.24%"
"2022- 09- 14","1,455.00","1,475.00","1,489.50","1,453.50","","-1.61%"
"2022- 09- 13","1,478.75","1,486.50","1,508.75","1,475.75","","-0.64%"
"2022- 09- 12","1,488.25","1,409.00","1,490.25","1,402.25","","5.38%"
"2022- 09- 09","1,412.25","1,388.25","1,415.75","1,387.25","","1.89%"
"2022- 09- 08","1,386.00","1,384.00","1,397.25","1,373.00","","0.18%"
"2022- 09- 07","1,383.50","1,398.50","1,432.25","1,380.75","","-1.09%"
"2022- 09- 06","1,398.75","1,415.00","1,423.00","1,392.25","","-1.31%"
"2022- 09- 05","1,417.25","1,426.25","1,426.25","1,417.25","","-0.23%"
"2022- 09- 02","1,420.50","1,395.00","1,422.00","1,391.75","66.35K","2.01%"
"2022- 09- 01","1,392.50","1,421.62","1,432.50","1,390.00","","-2.11%"
"2022- 08- 31","1,422.50","1,432.00","1,442.50","1,416.00","","-0.70%"
"2022- 08- 30","1,432.50","1,437.75","1,440.00","1,408.25","","-0.37%"
"2022- 08- 29","1,437.75","1,458.00","1,460.75","1,432.00","","-1.61%"
"2022- 08- 26","1,461.25","1,430.00","1,464.75","1,426.50","","2.10%"
"2022- 08- 25","1,431.25","1,456.75","1,467.00","1,428.50","","-1.77%"
"2022- 08- 24","1,457.00","1,461.50","1,484.50","1,447.50","","-0.21%"
"2022- 08- 23","1,460.12","1,433.75","1,474.62","1,431.25","","1.73%"
"2022- 08- 22","1,435.25","1,398.00","1,438.50","1,393.00","","2.23%"
"2022- 08- 19","1,404.00","1,405.75","1,410.00","1,386.25","","-0.09%"
"2022- 08- 18","1,405.25","1,390.00","1,413.00","1,376.50","","1.10%"
"2022- 08- 17","1,390.00","1,382.50","1,400.00","1,379.00","71.05K","0.62%"
"2022- 08- 16","1,381.38","1,408.00","1,413.75","1,376.00","","-2.19%"
"2022- 08- 15","1,412.25","1,441.75","1,443.75","1,386.00","","-2.89%"
"2022- 08- 12","1,454.25","1,448.00","1,464.75","1,415.25","","0.40%"
"2022- 08- 11","1,448.50","1,425.50","1,453.75","1,418.25","83.43K","1.45%"
"2022- 08- 10","1,427.75","1,428.50","1,454.75","1,422.00","100.44K","-0.07%"
"2022- 08- 09","1,428.75","1,410.00","1,438.50","1,408.75","90.77K","2.05%"
"2022- 08- 08","1,400.00","1,398.50","1,421.00","1,391.25","73.16K","-0.62%"
"2022- 08- 05","1,408.75","1,416.00","1,428.75","1,392.75","98.78K","-0.63%"
"2022- 08- 04","1,417.75","1,368.75","1,424.00","1,359.50","105.46K","3.50%"
"2022- 08- 03","1,369.75","1,375.75","1,406.25","1,356.00","95.64K","-1.21%"
"2022- 08- 02","1,386.50","1,396.75","1,408.00","1,377.25","109.06K","-1.39%"
"2022- 08- 01","1,406.00","1,477.50","1,481.00","1,395.50","125.02K","-4.26%"
"2022- 07- 29","1,468.50","1,440.50","1,489.00","1,435.50","121.32K","1.94%"
"2022- 07- 28","1,440.50","1,413.25","1,446.75","1,412.50","100.20K","2.16%"
"2022- 07- 27","1,410.00","1,383.00","1,416.50","1,371.75","108.14K","1.90%"
"2022- 07- 26","1,383.75","1,359.75","1,387.50","1,358.25","99.87K","2.80%"
"2022- 07- 25","1,346.00","1,335.00","1,349.25","1,314.50","86.71K","2.30%"
"2022- 07- 22","1,315.75","1,303.50","1,333.00","1,288.50","93.41K","1.09%"
"2022- 07- 21","1,301.50","1,334.00","1,341.75","1,294.75","89.38K","-2.31%"
"2022- 07- 20","1,332.25","1,354.00","1,356.25","1,327.75","83.22K","-1.91%"
"2022- 07- 19","1,358.25","1,382.25","1,383.50","1,339.00","91.91K","-1.59%"
"2022- 07- 18","1,380.25","1,355.75","1,393.00","1,340.75","81.21K","2.83%"
"2022- 07- 15","1,342.25","1,348.75","1,358.50","1,330.50","68.19K","-1.29%"
"2022- 07- 14","1,359.75","1,373.25","1,387.00","1,340.25","11.08K","-0.77%"
"2022- 07- 13","1,370.25","1,362.25","1,382.75","1,336.25","9.29K","0.57%"
"2022- 07- 12","1,362.50","1,425.25","1,436.25","1,360.00","9.41K","-4.29%"
